"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2018 - Cuarto de primaria",,,,,,,
,,,,,,,
Código Geografico,REGION,PROVINCIA,DISTRITO,Cobertura IE,Cobertura Estudiantes,Medida Promedio en Comprensión Lectora,Medida Promedio en Matemática
040108,AREQUIPA,AREQUIPA,LA JOYA,"100,0","97,8",490,489
040109,AREQUIPA,AREQUIPA,MARIANO MELGAR,"100,0","96,9",513,506
040110,AREQUIPA,AREQUIPA,MIRAFLORES,"100,0","97,9",526,520
040111,AREQUIPA,AREQUIPA,MOLLEBAYA,"100,0","78,9",-,-
040112,AREQUIPA,AREQUIPA,PAUCARPATA,"100,0","98,2",521,526
040114,AREQUIPA,AREQUIPA,POLOBAYA,"100,0","100,0",598,561
040116,AREQUIPA,AREQUIPA,SABANDIA,"100,0","96,6",512,520
040117,AREQUIPA,AREQUIPA,SACHACA,"100,0","99,1",520,506
040118,AREQUIPA,AREQUIPA,SAN JUAN DE SIGUAS,"100,0","90,0",517,523
040119,AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,"100,0","100,0",468,417
040120,AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,"100,0","100,0",453,436
040121,AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,"100,0","98,4",519,532
040122,AREQUIPA,AREQUIPA,SOCABAYA,"100,0","98,8",518,516
040123,AREQUIPA,AREQUIPA,TIABAYA,"100,0","99,0",513,517
